video_id,title,views,likes,comments,publish_date,publish_time,duration_seconds
zEop22YK-Ww,فري فاير 💯 شرح حدث شحن القنبلة 😱 تفكيك القنبلة شارك واربح شرح بسيط ومفصل 🔥,16290,1405,152,2020-07-19,10:09:05,178
aEeqL0dg6dM,فري فاير 💯 شرح حدث الانتقام 🤔 كن سيد السرعة وأحصل على الجوائز🔥سكن باتمان على عرش الانتقام مجانا🤩,167,32,10,2020-07-17,06:59:31,367
ROcBrkkWXTs,فري فاير 💯 حلم الجميع بدون سبين ولا جواهر وبالمجان سكينات لبس ورقصات واسلحة نادرة😱الغلتش الملكي🔥,193,40,7,2020-07-07,07:39:28,393
34hzskgT-JI,فري فاير 💯 شرح حدث الابادة كامل 🤔... انت مع الاحرار او المحاربين 🔥والجوائز الخاصة بكل معسكر 🤩,2818,194,76,2020-06-25,12:56:51,304
Wr1VFQKtaNI,فري فاير 💯 حصريا ومجانا الاليت باس الثانية 😱 طريقة الحصول على باقة الهيب هوب HIPHOP BUNDLE FREE,505,72,38,2020-06-15,12:03:41,483
pzE2tQqFB_c,تسريبات فري فاير 💯 الظواهر الأربعة وسكينات دياموند رويال وفاير باس مجاني والحاضنة + موضوع الكرمنيل🤩,181,43,27,2020-06-08,02:53:54,940
ZjoHnC4o444,فري فاير تروبل وحش الدبابات يقصف رؤوس السكوادات والدياوات هكذا يكون الجلد 💥💣,148,38,24,2020-06-03,10:31:54,927
TMEcUE5FZi4,تسريبات فري فاير 💯 الهبوط الاضطراري مع الصقر و سلاح يدمر الثلج ومحطات استراحة جنون التحديث القادم😱,104,29,24,2020-06-01,19:44:33,247
qGxpmnXnDoc,تسريبات فري فاير 💯 شنطة اليت باس ساكورا تعود ! 😱 طريقة مضاعفة الجواهر من خلال الحدث والشحن التراكمي💎,169,35,22,2020-05-30,07:44:29,441
z-M4h5KHEOs,تسريبات فري فاير 💯 سكنات الصيف والرقصات الجديدة والحيوان الطائر والشخصيات القادمة 🤩افضل التسريبات,175,45,54,2020-05-25,05:29:11,631
wlvgGTqcOd8,تسريبات فري فاير✔️ ابتداءا من الحاضنة فاير باس متجر الماجيك كيوب تخفيضات حقيقة عودة الفاير باسات 😱,300,75,39,2020-05-23,00:31:26,320
K39e62RiKzE,شرح طريقة كيف تاخد آلالاف البطاقات و الاسلحة في حدث الستريمرز على تطبيق BOOYAH!,459,116,29,2020-05-22,01:21:39,175
iNyefe9Fggg,كيف تاخد اكواد الاستعادة والجوائز كلها 💎💎 سارع قبل نفاذ العرض 👑,227,57,20,2020-05-16,20:48:00,133
ozpxH5qmSpw,لعشاق 🎒الكرمنيل الاحمر❤ تعالو نلعب ونحصل على 👑كيوب ماجيك👑 اليوم لعب مع المشاهدين 💎💎💎#TROUBLE_YT,193,32,7,2020-05-16,09:20:41,8633
mlsuv0ZmofY,💎💎شحن الوك 👑مجانا للمتابعين وتوزيع💎💎 5 فاير باسات 👑,167,28,8,2020-05-15,16:22:00,9903
Z31ap_UiMlQ,BOOYAH! تطبيق من ذهب فرصتك لربح العديد من الجواهر بلعبة فري فاير,888,90,15,2020-05-15,11:51:18,170
SpVCHFidaCQ,فري فاير تروبل في البيك وبرازيليا بحثا عن المجد  ma varredura de Beck e Brasília procurou glória,173,54,13,2020-05-13,08:35:14,252
w86QiA7rOVg,Trouble in troubles when a hacker knock me down النهاية عندما يحرمك الهاكرز من الصعود للغلوبال,191,49,8,2020-05-05,03:46:07,168
r_qzjqrvyGA,BIG INTRO FREE FIRE TROUBLE MAKER COMING ... #TROUBLE_YT,282,28,5,2020-05-05,01:39:42,17
